kickX,kickY,kickAngle,goalZ,outcome,kickPleas,kickArou,goalPleas,goalArou
1.042011,-0.004658,-20.000000,0.049437,R,-0.400000,0.347033,0.549804,0.818894
1.057689,0.154804,12.000000,0.148047,G,1.000000,0.502576,-0.646297,0.458644
1.063202,0.086770,14.000000,-0.301562,G,0.532647,0.431763,-0.266324,-0.097867
1.050636,-0.040025,-32.000000,-0.351159,O,-0.646312,-0.080412,0.149166,-0.275761
1.046845,0.053905,-4.000000,-0.199019,G,0.566912,0.915601,-0.283456,0.276156
1.044339,0.049856,-4.000000,0.154444,G,0.268337,0.979565,-0.134169,0.437807
1.043127,0.006926,-16.000000,-0.101533,G,1.000000,0.546096,-0.555553,0.630366
1.021873,0.076329,-14.000000,-0.151706,G,1.000000,0.584208,-0.566889,0.450555
1.048613,0.007932,-18.000000,0.349757,G,0.516718,0.391883,-0.258359,-0.271849
1.042753,0.026644,-12.000000,-0.303837,G,1.000000,0.644878,-0.659017,-0.105071
1.080353,0.107597,22.000000,0.098745,O,-0.576684,0.100623,0.400571,0.638440
1.047500,-0.006742,-20.000000,0.004428,G,1.000000,0.376709,-0.619333,0.985607
1.096634,0.115758,32.000000,-0.100995,O,-0.723744,-0.281734,0.600560,0.634325
1.046485,-0.006498,-20.000000,0.102281,R,-0.400000,0.371578,0.602146,0.628561
1.048479,0.058766,0.000000,0.251512,G,0.596496,0.953402,-0.298248,0.084911
1.048482,0.053939,-4.000000,-0.100971,G,0.329735,0.936107,-0.164868,0.632818
1.046808,0.046203,-4.000000,0.403322,G,0.627849,0.911205,-0.313924,-0.464434
1.074537,0.099080,18.000000,-0.503908,L,-0.400000,0.328796,1.003970,-0.832617
0.999836,0.004966,-32.000000,-0.102817,O,-0.696818,-0.211727,0.397017,0.625515
1.038812,0.040406,-8.000000,-0.501769,G,1.000000,0.664636,-0.837119,-0.824563
1.096025,0.120213,32.000000,0.397622,O,-0.714350,-0.257310,0.102778,-0.444444
1.072187,0.091733,18.000000,0.002083,L,-0.400000,0.356410,0.498041,0.992875
1.096627,0.173732,26.000000,-0.202502,O,-0.633545,-0.047217,0.702991,0.261849
1.065672,0.094738,16.000000,-0.001164,L,-0.400000,0.383221,0.501593,0.994207
1.044311,0.047873,-4.000000,0.454933,G,0.860334,0.975138,-0.430167,-0.654650
1.059364,0.085128,14.000000,0.402525,G,1.000000,0.447652,-0.954740,-0.463243
1.053162,0.073184,8.000000,-0.196841,G,0.301851,0.651962,-0.150926,0.283228
1.082862,0.105833,26.000000,0.002515,O,-0.648280,-0.085528,0.497480,0.990835
