@relation outTestNew

@attribute kickX numeric
@attribute kickZ numeric
@attribute kickAngle numeric
@attribute goalZ numeric
@attribute Outcome {O,L,G,R,D}
@attribute KickPleas numeric
@attribute KickArou numeric
@attribute GoalPleas numeric
@attribute GoalArou numeric

@data
1.050298,-0.012416,-24,-0.150207,O,-0.550748,0.168054,0.349723,0.453539
1.053153,0.073765,6,-0.50124,G,0.374172,0.685999,-0.187086,-0.822136
1.048413,0.065888,0,0.248488,G,0.515667,0.990142,-0.257833,0.098271
1.078711,0.102139,24,0.252902,O,-0.593057,0.058052,0.247094,0.080342
1.04618,0.052187,-4,-0.24899,G,0.704711,0.896711,-0.352356,0.094304
1.04352,0.015229,-16,0.203386,G,0.547932,0.522611,-0.273966,0.260281
1.0561,0.070988,6,-0.150679,D,-0.3,0.861312,1,0.452079
1.097044,0.122182,32,0.000557,O,-0.74651,-0.340927,0.499367,0.997697
1.040545,0.047649,-4,0.145177,D,-0.3,0.855016,1,0.472247
1.041949,0.025519,-12,-0.496518,O,-1.023012,-1.059832,0.003573,-0.805187
1.04341,0.038104,-6,-0.346174,G,1,0.826818,-0.519299,-0.258606
1.092466,0.177791,26,0.152614,O,-0.632163,-0.043625,0.347396,0.445076
1.047777,-0.000406,-20,0.29667,G,0.550393,0.427157,-0.275196,-0.082352
1.047539,0.033183,-10,0.348458,D,-0.3,0.755463,1,-0.266812
1.044263,0.027318,-10,0.049445,G,0.469455,0.715743,-0.234728,0.819892
1.062629,0.084825,14,0.450412,G,1,0.4142,-1,-0.638913
1.047566,0.053197,-4,0.504134,G,0.848554,0.918413,-0.424277,-0.839505
1.071195,0.093884,18,-0.051817,L,-0.4,0.335413,0.552891,0.807671
1.057839,0.153922,12,0.496957,G,1,0.537389,-0.959447,-0.806677
1.062394,0.090135,12,0.253103,G,1,0.47448,-0.778951,0.078432
1.088725,0.110593,28,-0.496299,O,-0.666923,-0.134,0.994934,-0.799762
1.053363,0.063328,0,-0.001272,D,-0.3,0.926354,1,0.994967
1.078926,0.107041,26,-0.34541,O,-0.645594,-0.078543,0.845562,-0.256591
1.073299,0.098196,20,0.447597,L,-0.4,0.241659,0.051788,-0.62986
1.076042,0.16471,18,-0.401719,L,-0.4,0.351594,0.901528,-0.460101
1.042568,0.138535,6,-0.39521,G,0.23589,0.722851,-0.117945,-0.436705
1.047665,0.066005,0,-0.04715,D,-0.3,0.956332,1,0.827
1.047205,0.001362,-20,-0.100234,R,-0.4,0.366788,0.399677,0.63519
1.06534,0.091478,18,-0.104449,L,-0.4,0.330961,0.604548,0.619825
1.026491,0.120451,-2,0.304482,G,0.558061,0.973852,-0.27903,-0.109741
1.052206,-0.046357,-34,-0.051397,O,-0.702846,-0.227401,0.448903,0.814194
1.047621,0.062986,0,0.250808,G,0.551893,0.976224,-0.275946,0.083018
1.053746,-0.037167,-30,-0.454774,O,-0.632151,-0.043592,0.044625,-0.655909
1.076306,0.103714,24,0.152062,O,-0.607178,0.021337,0.348191,0.447967
1.071628,0.09671,20,-0.500927,D,-0.3,0.54989,1,-0.821532
1.046775,-0.035448,-30,0.347809,O,-0.645171,-0.077445,0.847701,-0.264368
1.099225,0.123643,32,0.39844,O,-0.747574,-0.343691,0.100866,-0.451397
1.064759,0.094093,16,0.198799,L,-0.4,0.377966,0.301035,0.276491
1.046649,-0.001338,-20,0.052433,R,-0.4,0.385681,0.552662,0.808502
1.05102,0.072794,6,0.397266,G,1,0.840563,-0.557021,-0.44576
1.043521,0.018962,-12,-0.446144,G,1,0.527088,-0.919209,-0.622898
1.058402,0.081502,8,-0.152059,G,0.361332,0.666574,-0.180666,0.44451
1.052955,-0.03883,-32,0.047838,O,-0.669715,-0.141258,0.547134,0.828603
1.005304,0.047324,-22,0.494304,R,-0.4,0.302265,1.001287,-0.822862
1.041196,0.132995,4,0.147733,G,0.648075,0.8239,-0.324038,0.462046
1.046774,0.06025,-2,0.34588,G,0.625483,0.966256,-0.312741,-0.259945
1.049792,-0.041999,-32,0.202409,O,-0.677145,-0.160576,0.702147,0.26492
1.042974,0.050965,-4,0.202701,D,-0.3,0.899883,1,0.263968
1.064355,0.087649,12,0.197116,G,1,0.473972,-0.723954,0.280269
1.04159,0.0255,-10,-0.149136,G,1,0.552021,-0.597087,0.45779
1.048541,0.034196,-10,-0.34829,G,1,0.775429,-0.573106,-0.267397
1.088264,0.116348,28,-0.254793,O,-0.670667,-0.143735,0.755075,0.072456
1.026908,0.11378,-4,-0.50503,G,1,0.958087,-0.546861,-0.836176
1.058058,-0.054514,-36,0.152918,O,-0.727195,-0.290708,0.652879,0.444077
1.042859,0.042402,-6,-0.152396,G,0.615441,0.844853,-0.30772,0.445188
1.046982,0.000528,-18,0.245688,G,0.664661,0.422282,-0.33233,0.107682
1.045233,-0.007516,-22,0.247153,R,-0.4,0.330647,0.747193,0.101116
1.011449,0.035958,-26,0.103134,O,-0.568381,0.122209,0.603014,0.625403
1.050066,0.073267,6,-0.202308,D,-0.3,0.719737,1,0.264296
1.101768,0.126631,34,0.249728,O,-0.789148,-0.451785,0.25071,0.093491
1.077276,0.105647,24,0.103636,O,-0.624704,-0.024231,0.396265,0.622781
1.044449,0.031811,-10,-0.145269,G,0.795116,0.748081,-0.397558,0.470403
1.054302,-0.053191,-36,0.253529,O,-0.721181,-0.275069,0.754045,0.076199
1.047989,0.062124,2,-0.049063,D,-0.3,0.890199,1,0.820164
1.050882,-0.043247,-34,0.253444,O,-0.699397,-0.218433,0.753745,0.07729
1.042705,-0.001281,-18,-0.297721,G,1,0.378612,-0.919232,-0.08307
1.06382,0.088087,16,-0.499924,D,-0.3,0.383884,1,-0.820793
1.043152,0.010606,-16,0.097335,G,0.867991,0.468598,-0.433995,0.645792
1.09854,0.127753,36,0.000104,O,-0.802176,-0.485657,0.499939,0.999778
1.047307,0.010034,-16,-0.099004,G,1,0.472188,-0.626047,0.642783
1.071421,0.101888,22,0.253978,O,-0.562165,0.138371,0.246418,0.077884
1.045087,-0.011193,-22,-0.046351,R,-0.4,0.287964,0.453467,0.830789
1.018059,0.049317,-20,0.249987,R,-0.4,0.289592,0.750323,0.089736
1.108493,0.178206,30,0.051499,O,-0.723689,-0.281591,0.448601,0.813093
